Date,Wilshire 5000,NASDAQ Composite
2022-11-01,44.3620765625,16.88081689453125
2022-11-02,43.19851015625,16.313439697265625
2022-11-03,42.7742859375,16.031557666015626
2022-11-04,43.2807666015625,16.2366375
2022-11-07,43.6532767578125,16.3750052734375
2022-11-08,43.8741576171875,16.455110302734376
2022-11-09,42.9024076171875,16.04741337890625
2022-11-10,45.3333548828125,17.22693310546875
2022-11-11,45.8109642578125,17.55116162109375
2022-11-14,45.3545759765625,17.354140576171876
2022-11-15,45.8209458984375,17.6055357421875
2022-11-16,45.348605859375,17.3346732421875
2022-11-17,45.153357421875,17.274687939453123
2022-11-18,45.355874218749996,17.276392333984376
2022-11-21,45.1348091796875,17.087990136718748
2022-11-22,45.7466900390625,17.3203357421875
2022-11-23,46.0155923828125,17.492246484375
2022-11-25,46.0217107421875,17.400858544921874
2022-11-28,45.29575078125,17.126725
2022-11-29,45.2508109375,17.024859423828126
2022-11-30,46.63528515625,17.775399999999998
2022-12-01,46.6145716796875,17.797797802734376
2022-12-02,46.57976171875,17.765325
2022-12-05,45.649366796875,17.421907666015624
2022-12-06,44.9761091796875,17.073078955078124
2022-12-07,44.87377265625,16.985752197265626
2022-12-08,45.210444140625,17.1771
2022-12-09,44.863755078125,17.057161181640623
2022-12-12,45.50426015625,17.27279736328125
2022-12-13,45.8296517578125,17.448054833984376
2022-12-14,45.5618724609375,17.314878955078125
2022-12-15,44.4216833984375,16.756321923828125
2022-12-16,43.94955,16.5933857421875
2022-12-19,43.5093650390625,16.346346923828126
2022-12-20,43.5749240234375,16.348021044921875
2022-12-21,44.232360156249996,16.599523681640623
2022-12-22,43.5847125,16.237986181640625
2022-12-23,43.82698515625,16.271683544921874
2022-12-27,43.6214990234375,16.047507226562498
2022-12-28,43.0800466796875,15.830599560546874
2022-12-29,43.88322734375,16.2410392578125
2022-12-30,43.7850326171875,16.2230447265625
2023-01-03,43.5852875,16.0998197265625
2023-01-04,43.9409115234375,16.21107763671875
2023-01-05,43.450333203125,15.973122363281249
2023-01-06,44.4252951171875,16.382399560546876
2023-01-09,44.4455458984375,16.48525810546875
2023-01-10,44.7930390625,16.651076318359376
2023-01-11,45.390994140625,16.94408837890625
2023-01-12,45.6125533203125,17.05170439453125
2023-01-13,45.809216796875,17.1726982421875
2023-01-17,45.740270703125,17.197421044921875
2023-01-18,45.04246328125,16.98336513671875
2023-01-19,44.666781640625,16.8210177734375
2023-01-20,45.523819140625,17.267666015625
2023-01-23,46.1016357421875,17.6148357421875
2023-01-24,46.045469921875,17.5681177734375
2023-01-25,46.0531201171875,17.535708544921874
2023-01-26,46.556267578125,17.8442357421875
2023-01-27,46.7339740234375,18.013650439453123
2023-01-30,46.0973591796875,17.660404833984373
2023-01-31,46.833705078125,17.956052197265624
2023-02-01,47.3780908203125,18.315296484375
2023-02-02,48.107168359375,18.911271484375
2023-02-03,47.59316328125,18.610772802734374
2023-02-06,47.25103828125,18.425547802734375
2023-02-07,47.822094140625,18.776374560546873
2023-02-08,47.2856865234375,18.4613052734375
2023-02-09,46.839697656249996,18.27384912109375
2023-02-10,46.908958203124996,18.163086181640626
2023-02-13,47.4434341796875,18.432274560546876
2023-02-14,47.48646484375,18.53823310546875
2023-02-15,47.7135224609375,18.7094142578125
2023-02-16,47.0795759765625,18.37653662109375
2023-02-17,46.942492382812496,18.2702677734375
2023-02-21,45.941889062499996,17.813064697265624
2023-02-22,45.915070703125,17.835958984375
2023-02-23,46.13816171875,17.965120605468748
2023-02-24,45.6443490234375,17.662157666015624
2023-02-27,45.780453320312496,17.7738197265625
2023-02-28,45.660035742187496,17.756087060546875
2023-03-01,45.4685966796875,17.6381947265625
2023-03-02,45.7840740234375,17.7676197265625
2023-03-03,46.5185916015625,18.117965136718748
2023-03-06,46.45983828125,18.09739736328125
2023-03-07,45.7774615234375,17.872011621093748
2023-03-08,45.833294921875,17.9428
2023-03-09,44.9075673828125,17.57444189453125
2023-03-10,44.136056640625,17.265278955078124
2023-03-13,44.0044400390625,17.3427017578125
2023-03-14,44.732457421875,17.713633105468748
2023-03-15,44.3812267578125,17.722777197265625
2023-03-16,45.1399392578125,18.161784423828124
2023-03-17,44.577279296875,18.02729013671875
2023-03-20,44.976329296875,18.097087060546876
2023-03-21,45.625917578125,18.383171044921873
2023-03-22,44.8144083984375,18.088437939453126
2023-03-23,44.907329296875,18.27047060546875
2023-03-24,45.148263281249996,18.327137939453124
2023-03-27,45.2811826171875,18.2417017578125
2023-03-28,45.21586171875,18.15992412109375
2023-03-29,45.8626423828125,18.48567236328125
2023-03-30,46.0999916015625,18.620878076171874
2023-03-31,46.8146716796875,18.9439607421875
2023-04-03,46.940008203125,18.893647802734375
2023-04-04,46.601369140624996,18.795811621093748
2023-04-05,46.417944140624996,18.595133544921875
2023-04-06,46.5827265625,18.736337939453126
2023-04-10,46.685355078125,18.730758544921873
2023-04-11,46.7360359375,18.649413818359374
2023-04-12,46.51270234375,18.490476757812498
2023-04-13,47.12453828125,18.8577177734375
2023-04-14,47.0007875,18.791378076171874
2023-04-17,47.1918716796875,18.844465576171874
2023-04-18,47.217894921875,18.8377857421875
2023-04-19,47.22426484375,18.8437072265625
2023-04-20,46.9302107421875,18.692317333984374
2023-04-21,46.9727966796875,18.712312939453124
2023-04-24,46.983905859375,18.657660302734374
2023-04-25,46.18074765625,18.2886982421875
2023-04-26,45.9920982421875,18.37424189453125
2023-04-27,46.85051484375,18.82047236328125
2023-04-28,47.2236583984375,18.95119912109375
2023-05-01,47.21024921875,18.92952939453125
2023-05-02,46.613983203125,18.72479013671875
2023-05-03,46.352740039062496,18.63926162109375
2023-05-04,46.0071515625,18.54792060546875
2023-05-05,46.8832359375,18.964885742187498
2023-05-08,46.920332421875,18.99822587890625
2023-05-09,46.7221416015625,18.878302197265626
2023-05-10,46.9321423828125,19.074982666015625
2023-05-11,46.82733515625,19.109190136718748
2023-05-12,46.733160937499996,19.04134736328125
2023-05-15,46.94086171875,19.166075439453124
2023-05-16,46.578620703125,19.131727197265626
2023-05-17,47.1849357421875,19.375883984375
2023-05-18,47.6317916015625,19.667701757812498
2023-05-19,47.523830859374996,19.61974560546875
2023-05-22,47.6071384765625,19.717209423828123
2023-05-23,47.092329296875,19.4683875
2023-05-24,46.7403798828125,19.3504482421875
2023-05-25,47.03480234375,19.682039257812498
2023-05-26,47.6528509765625,20.112320166015625
2023-05-30,47.663578320312496,20.177016015625
2023-05-31,48.361156640625,20.049699560546873
2023-06-01,48.361156640625,20.3065197265625
2023-06-02,49.658769921875,20.5231927734375
2023-06-05,49.5178859375,20.505616015624998
2023-06-06,49.753842578125,20.57845087890625
2023-06-07,49.641430078125,20.31259560546875
2023-06-08,49.9010875,20.5197052734375
2023-06-09,49.9126009765625,20.551666455078124
2023-06-12,50.3703099609375,20.865975878906248
2023-06-13,50.7546390625,21.038646484375
2023-06-14,50.7403583984375,21.1210447265625
2023-06-15,51.3549615234375,21.363371484374998
2023-06-16,51.14436328125,21.218833984375
2023-06-20,50.8910083984375,21.184299560546876
2023-06-21,50.624370117187496,20.928410302734374
2023-06-22,50.7503041015625,21.127446044921875
2023-06-23,50.3306798828125,20.913405273437498
2023-06-26,50.15335078125,20.670459423828124
2023-06-27,50.7661076171875,21.01128837890625
2023-06-28,50.7888875,21.0672125
2023-06-29,51.036254296875,21.06656162109375
2023-06-30,51.61615078125,21.37127587890625
2023-07-03,51.699215820312496,21.415992773437498
2023-07-05,51.550394140625,21.37705810546875
2023-07-06,51.0877482421875,21.202512060546873
2023-07-07,51.030917578125,21.174115576171875
2023-07-10,51.2383173828125,21.2124947265625
2023-07-11,51.637057421875,21.329085302734374
2023-07-12,52.018641796875,21.574387939453125
